filename,CFR
0252022001R00,50.73.(a)(2)(iv)(A)
0252022002R01,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D), 50.73.(a)(2)(vii)"
0252022003R00,50.73.(a)(2)(i)(B)
0252023001R00,50.73.(a)(2)(iv)(A)
0252023002R00,50.73.(a)(2)(iv)(A)
0252023003R00,50.73.(a)(2)(iv)(A)
0252023004R00,50.73.(a)(2)(iv)(A)
2442021001R00,50.73.(a)(2)(i)(B)
2442021002R00,50.73.(a)(2)(iv)(A)
2442023001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
2442023002R00,50.73.(a)(2)(iv)(A)
2442023003R01,50.73.(a)(2)(iv)(A)
2502021001R00,50.73.(a)(2)(iv)(A)
2502021002R00,50.73.(a)(2)(i)(B)
2502021003R00,50.73.(a)(2)(iv)(A)
2502021004R00,50.73.(a)(2)(ii)(A)
2502023003R00,50.73.(a)(2)(iv)(A)
2502023004R00,50.73.(a)(2)(v)(A)
2502024002R01,50.73.(a)(2)(i)(B)
2612023001R00,50.73.(a)(2)(i)(B)
2662021001R00,50.73.(a)(2)(iv)(A)
2802021001R00,50.73.(a)(2)(ii)(B)
2802022001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(vii)"
2802022002R00,50.73.(a)(2)(i)(B)
2802022003R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(A), 50.73.(a)(2)(vii)"
2822021001R00,50.73.(a)(2)(iv)(A)
2822021002R00,50.73.(a)(2)(iv)(A)
2822023001R01,50.73.(a)(2)(iv)(A)
3062021001R00,50.73.(a)(2)(iv)(A)
3062023001R00,50.73.(a)(2)(iv)(A)
3152021001R00,50.73.(a)(2)(i)(B)
3152022001R00,50.73.(a)(2)(iv)(A)
3162021001R00,50.73.(a)(2)(i)(B)
3162021002R00,50.73.(a)(2)(iv)(A)
3232021001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
3232022001R00,50.73.(a)(2)(ii)(A)
3272021001R00,50.73.(a)(2)(iv)(A)
3272021003R00,50.73.(a)(2)(i)(B)
3272022001R00,50.73.(a)(2)(i)(B)
3272022002R00,50.73.(a)(2)(v)(D)
3282021001R00,"50.73.(a)(2)(v)(C), 50.73.(a)(2)(v)(D)"
3282021002R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
3282023001R00,50.73.(a)(2)(i)(B)
3342021001R00,50.73.(a)(2)(i)(B)
3342022001R00,50.73.(a)(2)(iv)(A)
3382021001R00,50.73.(a)(2)(iv)(A)
3392023001R00,50.73.(a)(2)(ii)(A)
3482021001R00,50.73.(a)(2)(iv)(A)
3482022001R00,50.73.(a)(2)(iv)(A)
3482023001R00,50.73.(a)(2)(iv)(A)
3482023002R00,50.73.(a)(2)(i)(B)
3482023003R00,50.73.(a)(2)(i)(B)
3642023001R00,50.73.(a)(2)(i)(B)
3642023002R00,50.73.(a)(2)(i)(B)
3642023003R00,50.73.(a)(2)(i)(B)
3642024001R00,50.73.(a)(2)(iv)(A)
3692023001R00,50.73.(a)(2)(iv)(A)
3702021001R00,50.73.(a)(2)(iv)(A)
3702022001R00,50.73.(a)(2)(iv)(A)
3702023001R00,50.73.(a)(2)(iv)(A)
3902021001R00,50.73.(a)(2)(v)(D)
3902023001R01,50.73.(a)(2)(i)(B)
3912021001R00,50.73.(a)(2)(iv)(A)
3912023001R00,50.73.(a)(2)(ii)(B)
3912023002R00,50.73.(a)(2)(iv)(A)
3912023003R01,50.73.(a)(2)(iv)(A)
3952021001R01,"21.2.(c), 50.73.(a)(2)(i)(B)"
3952022002R01,50.73.(a)(2)(iv)(A)
3952023001R00,50.73.(a)(2)(i)(B)
4002021004R00,50.73.(a)(2)(i)(B)
4002021005R00,50.73.(a)(2)(i)(B)
4002022001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
4002022003R00,50.73.(a)(2)(iv)(A)
4002022004R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(A), 50.73.(a)(2)(v)(D)"
4002022005R01,50.73.(a)(2)(iv)(A)
4002022006R02,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
4002022007R01,50.73.(a)(2)(iv)(A)
4002022008R00,50.73.(a)(2)(iv)(A)
4122021002R00,50.73.(a)(2)(iv)(A)
4122021003R00,50.73.(a)(2)(ii)(A)
4122021004R00,50.73.(a)(2)(iv)(A)
4122021005R00,50.73.(a)(2)(iv)(A)
4122022001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(A), 50.73.(a)(2)(v)(D)"
4122023001R00,50.73.(a)(2)(ii)(A)
4122023002R00,50.73.(a)(2)(iv)(A)
4122023003R01,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(ii)(B), 50.73.(a)(2)(v)(B), 50.73.(a)(2)(vii)"
4122023004R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(A), 50.73.(a)(2)(v)(D)"
4132021005R00,50.73.(a)(2)(iv)(A)
4142021001R00,50.73.(a)(2)(ii)(A)
4142021002R00,50.73.(a)(2)(iv)(A)
4142021003R00,50.73.(a)(2)(ii)(A)
4142022001R00,50.73.(a)(2)(iv)(A)
4142022002R00,50.73.(a)(2)(ii)(A)
4142022003R00,50.73.(a)(2)(iv)(A)
4232022001R00,50.73.(a)(2)(i)(B)
4232022003R00,50.73.(a)(2)(i)(B)
4232023001R00,50.73.(a)(2)(iv)(A)
4232023003R00,50.73.(a)(2)(i)(B)
4232023005R00,50.73.(a)(2)(i)(B)
4232023006R02,50.73.(a)(2)(i)(B)
4242021001R00,50.73.(a)(2)(i)(B)
4242022001R00,50.73.(a)(2)(iv)(A)
4242023001R00,50.73.(a)(2)(iv)(A)
4242023002R00,50.73.(a)(2)(iv)(A)
4432021002R00,50.73.(a)(2)(i)(B)
4432023002R00,50.73.(a)(2)(iv)(A)
4432023005R00,50.73.(a)(2)(v)(B)
4452022001R00,50.73.(a)(2)(iv)(A)
4452023001R01,50.73.(a)(2)(iv)(A)
4542021001R01,50.73.(a)(2)(i)(B)
4542022001R00,50.73.(a)(2)(i)(B)
4542023001R01,50.73.(a)(2)(i)(B)
4552022001R01,50.73.(a)(2)(ii)(A)
4562021001R00,50.73.(a)(2)(i)(B)
4562021002R00,50.73.(a)(2)(iv)(A)
4562022001R00,50.73.(a)(2)(ii)(A)
4572023001R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(B)"
4822021003R00,50.73.(a)(2)(iv)(A)
4822021004R00,50.73.(a)(2)(iv)(A)
4822022001R00,50.73.(a)(2)(iv)(A)
4832021001R00,50.73.(a)(2)(iv)(A)
4832022001R00,50.73.(a)(2)(iv)(A)
4832022002R00,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(C), 50.73.(a)(2)(v)(D)"
4832022003R01,50.73.(a)(2)(i)(B)
4832023001R00,50.73.(a)(2)(i)(B)
4982021001R00,50.73.(a)(2)(iv)(A)
4982023001R01,"50.73.(a)(2)(i)(B), 50.73.(a)(2)(v)(D)"
4982023004R01,50.73.(a)(2)(i)(B)
4992021001R00,50.73.(a)(2)(i)(B)
4992021002R01,50.73.(a)(2)(i)(B)
4992022001R00,50.73.(a)(2)(iv)(A)
4992023001R00,50.73.(a)(2)(v)(D)
4992023002R00,50.73.(a)(2)(iv)(A)
